round,loss,accuracy
1,0.7181906510913183,0.5079365079365079
2,0.6074251314950367,0.6666666666666666
3,0.5320022333235968,0.7619047619047619
4,0.4819933251729087,0.7936507936507936
5,0.4485552452859424,0.8253968253968254
