round,loss,accuracy
1,0.4260820722769177,0.746031746031746
2,0.4098750352859497,0.746031746031746
3,0.3990740638876718,0.7777777777777778
4,0.3936446143521203,0.7936507936507936
5,0.3908638552067772,0.7777777777777778
